wave	repo	prefix	group	source	target	source_sha256	target_sha256	status
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	protocols	/home/architit/work/Archivator_Agent/memory/PROTOCOLS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/protocols/PROTOCOLS_LIST_2026-02-17.txt	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	contracts	/home/architit/work/Archivator_Agent/memory/CONTRACTS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/contracts/CONTRACTS_LIST_2026-02-17.txt	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	policies	/home/architit/work/Archivator_Agent/memory/POLICIES_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/policies/POLICIES_LIST_2026-02-17.txt	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	atlas	/home/architit/work/Archivator_Agent/memory/ATLAS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/atlas/ATLAS_LIST_2026-02-17.txt	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	maps	/home/architit/work/Archivator_Agent/memory/MAPS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/maps/MAPS_LIST_2026-02-17.txt	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	chronologs	/home/architit/work/Archivator_Agent/memory/CHRONOLOGS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/chronologs/CHRONOLOGS_LIST_2026-02-17.txt	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	logs	/home/architit/work/Archivator_Agent/memory/LOGS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/logs/LOGS_LIST_2026-02-17.txt	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	journals	/home/architit/work/Archivator_Agent/memory/JOURNALS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/journals/JOURNALS_LIST_2026-02-17.txt	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	OK
1	/home/architit/work/Archivator_Agent	ARCHIVATOR_AGENT/Archivator_Agent	matrices	/home/architit/work/Archivator_Agent/memory/MATRICES_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/ARCHIVATOR_AGENT/Archivator_Agent/matrices/MATRICES_LIST_2026-02-17.txt	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	protocols	/home/architit/work/Archivator_Agent/SubtreeHub/memory/PROTOCOLS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/protocols/PROTOCOLS_LIST_2026-02-17.txt	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	contracts	/home/architit/work/Archivator_Agent/SubtreeHub/memory/CONTRACTS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/contracts/CONTRACTS_LIST_2026-02-17.txt	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	policies	/home/architit/work/Archivator_Agent/SubtreeHub/memory/POLICIES_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/policies/POLICIES_LIST_2026-02-17.txt	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	atlas	/home/architit/work/Archivator_Agent/SubtreeHub/memory/ATLAS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/atlas/ATLAS_LIST_2026-02-17.txt	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	maps	/home/architit/work/Archivator_Agent/SubtreeHub/memory/MAPS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/maps/MAPS_LIST_2026-02-17.txt	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	chronologs	/home/architit/work/Archivator_Agent/SubtreeHub/memory/CHRONOLOGS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/chronologs/CHRONOLOGS_LIST_2026-02-17.txt	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	logs	/home/architit/work/Archivator_Agent/SubtreeHub/memory/LOGS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/logs/LOGS_LIST_2026-02-17.txt	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	journals	/home/architit/work/Archivator_Agent/SubtreeHub/memory/JOURNALS_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/journals/JOURNALS_LIST_2026-02-17.txt	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	OK
1	/home/architit/work/Archivator_Agent/SubtreeHub	SUBTREEHUB/SubtreeHub	matrices	/home/architit/work/Archivator_Agent/SubtreeHub/memory/MATRICES_LIST_2026-02-17.txt	/home/architit/work/Archivator_Agent/SubtreeHub/SUBTREEHUB/SubtreeHub/matrices/MATRICES_LIST_2026-02-17.txt	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	OK
1	/home/architit/work/CORE	CORE/CORE	protocols	/home/architit/work/CORE/memory/PROTOCOLS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/protocols/PROTOCOLS_LIST_2026-02-17.txt	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	OK
1	/home/architit/work/CORE	CORE/CORE	contracts	/home/architit/work/CORE/memory/CONTRACTS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/contracts/CONTRACTS_LIST_2026-02-17.txt	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	OK
1	/home/architit/work/CORE	CORE/CORE	policies	/home/architit/work/CORE/memory/POLICIES_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/policies/POLICIES_LIST_2026-02-17.txt	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	OK
1	/home/architit/work/CORE	CORE/CORE	atlas	/home/architit/work/CORE/memory/ATLAS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/atlas/ATLAS_LIST_2026-02-17.txt	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	OK
1	/home/architit/work/CORE	CORE/CORE	maps	/home/architit/work/CORE/memory/MAPS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/maps/MAPS_LIST_2026-02-17.txt	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	OK
1	/home/architit/work/CORE	CORE/CORE	chronologs	/home/architit/work/CORE/memory/CHRONOLOGS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/chronologs/CHRONOLOGS_LIST_2026-02-17.txt	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	OK
1	/home/architit/work/CORE	CORE/CORE	logs	/home/architit/work/CORE/memory/LOGS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/logs/LOGS_LIST_2026-02-17.txt	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	OK
1	/home/architit/work/CORE	CORE/CORE	journals	/home/architit/work/CORE/memory/JOURNALS_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/journals/JOURNALS_LIST_2026-02-17.txt	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	OK
1	/home/architit/work/CORE	CORE/CORE	matrices	/home/architit/work/CORE/memory/MATRICES_LIST_2026-02-17.txt	/home/architit/work/CORE/CORE/CORE/matrices/MATRICES_LIST_2026-02-17.txt	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	protocols	/home/architit/work/J.A.R.V.I.S/memory/PROTOCOLS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/protocols/PROTOCOLS_LIST_2026-02-17.txt	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	contracts	/home/architit/work/J.A.R.V.I.S/memory/CONTRACTS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/contracts/CONTRACTS_LIST_2026-02-17.txt	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	policies	/home/architit/work/J.A.R.V.I.S/memory/POLICIES_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/policies/POLICIES_LIST_2026-02-17.txt	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	atlas	/home/architit/work/J.A.R.V.I.S/memory/ATLAS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/atlas/ATLAS_LIST_2026-02-17.txt	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	maps	/home/architit/work/J.A.R.V.I.S/memory/MAPS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/maps/MAPS_LIST_2026-02-17.txt	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	chronologs	/home/architit/work/J.A.R.V.I.S/memory/CHRONOLOGS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/chronologs/CHRONOLOGS_LIST_2026-02-17.txt	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	logs	/home/architit/work/J.A.R.V.I.S/memory/LOGS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/logs/LOGS_LIST_2026-02-17.txt	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	cd5eeefe9c49d1a1eda439994deb34bb1a666d0a26c54641be4db2271291ca8d	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	journals	/home/architit/work/J.A.R.V.I.S/memory/JOURNALS_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/journals/JOURNALS_LIST_2026-02-17.txt	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	acd1b3c65389920861ea700469809524e5f3c45c6de2835044b0e3d46c387e63	OK
1	/home/architit/work/J.A.R.V.I.S	J_A_R_V_I_S/J.A.R.V.I.S	matrices	/home/architit/work/J.A.R.V.I.S/memory/MATRICES_LIST_2026-02-17.txt	/home/architit/work/J.A.R.V.I.S/J_A_R_V_I_S/J.A.R.V.I.S/matrices/MATRICES_LIST_2026-02-17.txt	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	ede03169eee10a1643f30485cc33b0020a27e5357e3877ace2a79e393d598b81	OK
2	/home/architit/work/LAM-Codex_Agent	LAM_CODEX_AGENT/LAM-Codex_Agent	protocols	/home/architit/work/LAM-Codex_Agent/memory/PROTOCOLS_LIST_2026-02-17.txt	/home/architit/work/LAM-Codex_Agent/LAM_CODEX_AGENT/LAM-Codex_Agent/protocols/PROTOCOLS_LIST_2026-02-17.txt	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	ac5253b7b951b9f797a09a914f4a16e5163a74ec8612d70e41255c5068f88afd	OK
2	/home/architit/work/LAM-Codex_Agent	LAM_CODEX_AGENT/LAM-Codex_Agent	contracts	/home/architit/work/LAM-Codex_Agent/memory/CONTRACTS_LIST_2026-02-17.txt	/home/architit/work/LAM-Codex_Agent/LAM_CODEX_AGENT/LAM-Codex_Agent/contracts/CONTRACTS_LIST_2026-02-17.txt	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	f778e7cc7f04a4477925cd84699f7d358cd23a8832590aa7c0470ad75a1f5c71	OK
2	/home/architit/work/LAM-Codex_Agent	LAM_CODEX_AGENT/LAM-Codex_Agent	policies	/home/architit/work/LAM-Codex_Agent/memory/POLICIES_LIST_2026-02-17.txt	/home/architit/work/LAM-Codex_Agent/LAM_CODEX_AGENT/LAM-Codex_Agent/policies/POLICIES_LIST_2026-02-17.txt	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	ff49202b09cd139c8670f200670c6ecac6e4392e81a9433f17925b9cc9c13c85	OK
2	/home/architit/work/LAM-Codex_Agent	LAM_CODEX_AGENT/LAM-Codex_Agent	atlas	/home/architit/work/LAM-Codex_Agent/memory/ATLAS_LIST_2026-02-17.txt	/home/architit/work/LAM-Codex_Agent/LAM_CODEX_AGENT/LAM-Codex_Agent/atlas/ATLAS_LIST_2026-02-17.txt	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	fe79ab3032971ad48fc2cfeb8d7e51f13ef8196f8152c29efb3c2e3c7941b821	OK
2	/home/architit/work/LAM-Codex_Agent	LAM_CODEX_AGENT/LAM-Codex_Agent	maps	/home/architit/work/LAM-Codex_Agent/memory/MAPS_LIST_2026-02-17.txt	/home/architit/work/LAM-Codex_Agent/LAM_CODEX_AGENT/LAM-Codex_Agent/maps/MAPS_LIST_2026-02-17.txt	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	d767d660f5a09f9b60fbfc98c4271f735509845725b6f3408fc5209447e5c37f	OK
2	/home/architit/work/LAM-Codex_Agent	LAM_CODEX_AGENT/LAM-Codex_Agent	chronologs	/home/architit/work/LAM-Codex_Agent/memory/CHRONOLOGS_LIST_2026-02-17.txt	/home/architit/work/LAM-Codex_Agent/LAM_CODEX_AGENT/LAM-Codex_Agent/chronologs/CHRONOLOGS_LIST_2026-02-17.txt	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	879e0f7f650ec067d33d4a2927e38d1a265ea3943d55c88aeaa7c3a8abcc2547	OK
